Ch,RX Freq,TX Freq,+/-,Offset,TX PL,RX PL,DCARA / ARES I.C.E.,NAME,LONG NAME,,Updated 3/22/17,,,,
1,146.9200,146.3200,-,0.6000,110.9,110.9,Denton (DCARA Primary),92 RPT,DCARA92,,KE5GDB,,,,
2,146.9200,146.9200,,,110.9,,Denton Simplex,92 SIM,92 SIMPL,,,,,,
3,145.1700,144.5700,-,0.6000,110.9,110.9,Denton EOC (DCARA) (W5FKN),FKN 17,W5FKN17,,,,,,
4,145.2100,144.6100,-,0.6000,110.9,110.9,MCREST 190 @ Marsh,MCST21,MCST@190,,,,,,
5,146.5200,146.5200,,,CXR,,National Calling Freq-VHF,VHFNAT,VHF CALL,,,,,,
6,146.5400,146.5400,,,CXR,,Simplex Alpha,SIM A,ALPHA,,,,,,
7,147.4400,147.4400,,,CXR,,Simplex Bravo,SIM B,BRAVO,,,,,,
8,146.4800,146.4800,,,CXR,,Simplex Charlie,SIM C,CHARLIE,,,,,,
9,147.5000,147.5000,,,CXR,,Simplex Delta,SIM D,DELTA,,,,,,
10,145.3500,144.7500,-,0.6000,100.0,100.0,McKinney ARS,MCKINE,MCKINNEY,,,,,,
11,145.3700,144.7700,-,0.6000,110.9,,N. Richland Hills ARC,NRHARC,NRICHHIL,,,,,,
12,145.4000,144.8000,-,0.6000,110.9,,Grapevine,GRAPEV,GRAPEVIN,,,,,,
13,145.4900,144.8900,-,0.6000,85.4,85.4,Rosston,ROSTN,ROSSVHF,,,,,,
14,145.4300,144.8300,-,0.6000,110.9,110.9,UT Dallas ARC,UTD,UTDARC,,,,,,
15,146.6400,146.0400,-,0.6000,118.8,,MARS Failsafe repeater-Bellar tower,MARS64,MARSBKUP,,,,,,
16,146.6600,146.0600,-,0.6000,110.9,,GARC (Garland),GARC,GARLAND,,,,,,
17,146.7000,146.1000,-,0.6000,110.9,110.9,W5EBQ (Green building),W5EBQ,DALPICKL,,,,,,
18,146.7200,146.1200,-,0.6000,110.9,,IARC Irving RACES,IRVING,IRVRACES,,,,,,
19,146.7400,146.1400,-,0.6000,110.9,,MARC Collin ARES Backup,MARC,MCKINN#2,,,,,,
20, , , , , ,, , , ,,,,,,
21,146.8800,146.2800,-,0.6000,110.9,110.9,DARC Dallas RACES/ARES,DRACES,DALRACES,,,,,,
22,146.9400,146.3400,-,0.6000,110.9,110.9,Tarrant Co RACES Primary,TRACES,TRNTRACE,,,,,,
23,147.0000,147.6000,+,0.6000,100.0,,Grayson Co Skywarn,GRAYSN,GRAYSON,,,,,,
24,147.1200,147.7200,+,0.6000,110.9,110.9,Richardson Wireless Klub,RCHRD,RCHRDSON,,,,,,
25,147.1800,147.7800,+,0.6000,107.2,107.2,PARK Allen Collin ARES Main,PARK,PLANOARC,,,,,,
26,146.9800,146.3800,-,0.6000,110.9,110.9,BOYD,BOYD,BOYD,,,,,,
27,147.3400,147.9400,+,0.6000,100.0,,Gainesville CC Skywarn,GAINSV,GAINSVIL,,,,,,
28,147.3800,147.9800,+,0.6000,110.9,110.9,LAARK in The Colony,LAARK,THECOLNY,,,,,,
29,146.6200,146.0200,-,0.6000,131.8,,Paradise,PARDSE,PARADISE,,,,,,
30,147.1400,147.7400,+,0.6000,110.9,110.9,Arlington,ARLTON,ARLINGTO,,,,,,
31,147.0400,147.6400,+,0.6000,110.9,,Weatherford,WXFORD,WXFORD,,,,,,
32,147.3200,147.9200,+,0.6000,110.9,110.9,Fort Worth,FTWRTH,FTWORTH,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,223.5000,223.5000,,,CXR,,220 National Calling Frequency,220NAT,220 CALL,,,,,,
41,223.4000,223.4000,,,CXR,,220 Simplex,220SIM,220SMPLX,,,,,,
42,223.8200,222.2200,-,1.6000,110.9,110.9,UT Dallas,UTD220,UTD220,,,,,,
43,224.0000,222.4000,-,1.6000,110.9,110.9,LAARK 220,LRK220,LAARK220,,,,,,
44,224.0800,222.4800,-,1.6000,110.9,110.9,LARA 220,LVL220,LARA220,,,,,,
45,224.2000,222.6000,-,1.6000,110.9,110.9,Rosston,RSTN22,RSTN220,,,,,,
46,224.9200,223.3200,-,1.6000,110.9,110.9,Denton,DEN220,DCARA220,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,444.0500,449.0500,+,5.0000,110.9,110.9,Denton EOC (DCARA),05 RPT,DCEOC 05,,,,,,
52,443.5250,448.5250,+,5.0000,118.8,118.8,Denton (DCARA)(TWU),525 RPT,DCARA525,,,,,,
53,442.6500,447.6500,+,5.0000,110.9,,MCREST UHF repeater at Trinity Hosp,MCST65,MCST UHF,,,,,,
54,446.0000,446.0000,,,CXR,,National Calling Freq-UHF,UHFNAT,UHF CALL,,,,,,
55,446.5000,446.5000,,,CXR,,Simplex Foxtrot,SIM F,FOXTROT,,,,,,
56,440.4250,445.4250,+,5.0000,110.9,110.9,Rosston UHF Analog/P25 Mixed Mode,RSTN425,RSTN425,,,,,,
57,441.3250,446.3250,+,5.0000,88.5,88.5,Denton portable (eCOMM),ECOM-R,eCOMM701,,,,,,
58,444.5125,449.5125,+,5.0000,123.0,123.0,Celina (KE5UT) NARROW BAND,CELINA,KE5UT,,,,,,
59,442.1750,447.1750,+,5.0000,110.9,110.9,Southlake,S-LAKE,SO-LAKE,,,,,,
60,443.2000,448.2000,+,5.0000,100.0,,McKinney  ,MKIN20,MCKINY70,,,,,,
61,443.8750,448.8750,+,5.0000,110.9,110.9,Grapevine,GRPE87,GRPVN70,,,,,,
62,444.0250,449.0250,+,5.0000,110.9,110.9,Dallas,DAL025,DALLAS70,,,,,,
63,444.2500,449.2500,+,5.0000,79.7,,Plano PARK,PARK70,PLANO70,,,,,,
64,444.3000,449.3000,+,5.0000,110.9,110.9,Fort Worth,FTW 70,FTWRTH70,,,,,,
65,444.4000,449.4000,+,5.0000,156.7,156.7,Decatur,DCTR40,DECATR70,,,,,,
66,443.7375,448.7375,+,5.0000,141.3,141.3,Rosston,RSTN73,ROSLNK70,,,,,,
67,444.7250,449.7250,+,5.0000,110.9,110.9,Richardson Wireless Klub,RWK70,RCHRDSN70,,,,,,
68,446.0250,446.0250,,,110.9,110.9,X-BAND (assigned during event),X-BAND,X-BAND,,,,,,
69,442.4000,447.4000,+,5.0000,110.9,110.9,Cedar Hill - W5MAY,CDRHL,CDRHILL,,,,,,
70,442.4500,447.4500,+,5.0000,156.7,,BOWIE,BOWIE,BOWIE,,,,,,
71,444.8500,449.8500,+,5.0000,110.9,110.9,Flower Mound. ERS system,FMND85,FMNDERS7,,,,,,
72,442.4250,447.4250,+,5.0000,110.9,110.9,DARC Dallas,DARC42,DARC42,,,,,,
73,444.2250,449.2250,+,5.0000,110.9,110.9,Coppell,COPPEL,COPPELL,,,,,,
74,444.0750,449.0750,+,5.0000,110.9,110.9,Metrocrest ARS,MARS07,MARS075,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,443.3000,448.3000,+,5.0000,110.9,110.9,LAARK Fusion Repeater,LRK70,LAARK70,,,,,,
79,446.0750,446.0750,,,110.9,110.9,Presby Hosp x-Band with 146.920,PRESBX,PRSBY-X,,,,,,
80,446.0750,446.0750,,,114.8,114.8,Reserved for future 92 Crossband,92XB1,92CRSBND1,,,,,,
81,446.0750,446.0750,,,118.8,118.8,Reserved for future 92 Crossband,92XB2,92CRSBND2,,,,,,
82,446.0750,446.0750,,,123.0,123.0,Reserved for future 92 Crossband,92XB3,92CRSBND3,,,,,,
83,446.0750,446.0750,,,127.3,127.3,Reserved for future 92 Crossband,92XB4,92CRSBND4,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,162.4000,,,,,,WX1,,,,,,,,
92,162.4250,,,,,,WX2,,,,,,,,
93,162.4500,,,,,,WX3,,,,,,,,
94,162.4750,,,,,,WX4,,,,,,,,
95,162.5000,,,,,,WX5,,,,,,,,
96,162.5250,,,,,,WX6,,,,,,,,
97,162.5500,,,,,,WX7,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
